t,theta_deg,force_N,penetration_mm
0.17850,-0.00000,0.02670,0.000001
0.17900,-0.00000,0.02678,0.000001
0.17950,-0.00000,0.02685,0.000001
0.18000,-0.00000,0.02693,0.000001
0.18050,-0.00000,0.02700,0.000001
0.18100,-0.00000,0.02708,0.000001
0.18150,-0.00000,0.02715,0.000001
0.18200,-0.00000,0.02723,0.000001
0.18250,-0.00000,0.02730,0.000001
0.18300,-0.00000,0.02738,0.000001
0.18350,-0.00000,0.02745,0.000001
0.18400,-0.00000,0.02753,0.000001
0.18450,-0.00000,0.02760,0.000001
0.18500,-0.00000,0.02768,0.000001
0.18550,-0.00000,0.02775,0.000001
0.18600,-0.00000,0.02783,0.000001
0.18650,-0.00000,0.02790,0.000001
0.18700,-0.00000,0.02798,0.000001
0.18750,-0.00000,0.02805,0.000001
0.18800,-0.00000,0.02813,0.000001
0.18850,-0.00000,0.02820,0.000001
0.18900,-0.00000,0.02828,0.000001
0.18950,-0.00000,0.02835,0.000001
0.19000,-0.00000,0.02843,0.000001
0.19050,-0.00000,0.02850,0.000001
0.19100,-0.00000,0.02858,0.000001
0.19150,-0.00000,0.02865,0.000001
0.19200,-0.00000,0.02873,0.000001
0.19250,-0.00000,0.02880,0.000001
0.19300,-0.00000,0.02888,0.000001
0.19350,-0.00000,0.02895,0.000001
0.19400,-0.00000,0.02903,0.000001
0.19450,-0.00000,0.02910,0.000001
0.19500,-0.00000,0.02918,0.000001
0.19550,-0.00000,0.02925,0.000001
0.19600,-0.00000,0.02933,0.000001
0.19650,-0.00000,0.02940,0.000001
0.19700,-0.00000,0.02948,0.000001
0.19750,-0.00000,0.02955,0.000001
0.19800,-0.00000,0.02963,0.000001
0.19850,-0.00000,0.02970,0.000001
0.19900,-0.00000,0.02978,0.000001
0.19950,-0.00000,0.02985,0.000001
0.20000,-0.00000,0.02993,0.000001
0.20050,-0.00000,0.03000,0.000001
0.20100,-0.00000,0.03008,0.000001
0.20150,-0.00000,0.03015,0.000001
0.20200,-0.00000,0.03023,0.000001
0.20250,-0.00000,0.03030,0.000001
0.20300,-0.00000,0.03038,0.000001
0.20350,-0.00000,0.03045,0.000001
0.20400,-0.00000,0.03053,0.000001
