t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.625500,218.801804,-0.012600,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.626000,218.801803,-0.012675,0.194307,0.024725,0.000000,0.000000,0.000000,0.000360
1.626500,218.801803,-0.012750,0.194307,0.024726,0.000000,0.000000,0.000000,0.000360
1.627000,218.801803,-0.012825,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.627500,218.801803,-0.012900,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.628000,218.801803,-0.012975,0.194307,0.024725,0.000000,0.000000,0.000000,0.000360
1.628500,218.801803,-0.013050,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.629000,218.801803,-0.013125,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.629500,218.801803,-0.013200,0.194307,0.024725,0.000000,0.000000,0.000000,0.000360
1.630000,218.801802,-0.013275,0.194307,0.024725,0.000000,0.000000,0.000000,0.000360
1.630500,218.801802,-0.013350,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.631000,218.801802,-0.013425,0.194307,0.024725,0.000000,0.000000,0.000000,0.000359
1.631500,218.801802,-0.013500,0.194307,0.024725,0.000000,0.000000,0.000000,0.000360
1.632000,218.801802,-0.013575,0.194306,0.024725,0.000000,0.000000,0.000000,0.000359
1.632500,218.801802,-0.013650,0.194306,0.024725,0.000000,0.000000,0.000000,0.000359
1.633000,218.801801,-0.013725,0.194306,0.024725,0.000000,0.000000,0.000000,0.000360
1.633500,218.801801,-0.013800,0.194306,0.024725,0.000000,0.000000,0.000000,0.000360
1.634000,218.801801,-0.013875,0.194306,0.024725,0.000000,0.000000,0.000000,0.000359
1.634500,218.801800,-0.013950,0.194306,0.024725,0.000000,0.000000,0.000000,0.000359
1.635000,218.801798,-0.014025,0.194306,0.024725,0.000000,0.000000,0.000000,0.000360
1.635500,218.801795,-0.014100,0.194306,0.024725,0.000000,0.000000,0.000000,0.000360
1.636000,218.801789,-0.014175,0.194305,0.024725,0.000000,0.000000,0.000000,0.000359
1.636500,218.801781,-0.014250,0.194304,0.024725,0.000000,0.000000,0.000000,0.000360
1.637000,218.801770,-0.014325,0.194304,0.024725,0.000000,0.000000,0.000000,0.000360
